sku,name,month,batch_count,purchase,sales,rate,unsold
2561115,高地牛桌面便签架（带100张便利贴）-【棕色】【备注：改价21元/套】,4月,3,40,12,30.0,28
2551472,【定制】【2pcs】亚克力花盆装饰-【飞舞知更鸟】下单备注要金属杆子,5月,3,60,18,30.0,42
2561406,儿童木质放大镜探险玩具套装,5月,3,60,18,30.0,42
2620588,【定制】手工钩织正能量礼物【星星 备注：将成品图和卡片图一起发给供应商并改价8.5】,5月,3,70,23,32.9,47
2561166,甜美蝴蝶结化妆包-【丝带领带蝴蝶结 小号】,4月,3,70,23,32.9,47
2630728,【定制】新娘蓝色祝福胸针【蓝珍珠天使挂件】【定制卡片】,5月,3,45,15,33.3,30
2561413,【定制】亚克力挂牌【花篮高地牛】,5月,3,60,20,33.3,40
2551402,【定制】亚克力挂牌-【钻石海】,4月,3,60,20,33.3,40
2551414,【定制】亚克力拼图挂牌-【山间小野】,4月,3,30,10,33.3,20
2620693,【定制】【4pcs】亚克力出风口夹-第四翼龙1,5月,3,35,12,34.3,23
2551425,烫钻粉色立体生日贺卡【mum】,4月,3,60,21,35.0,39
2620546,星星魔法棒非接触式支付夹【彩虹色（气泡袋）备注：协商7.5一套】,4月,3,80,28,35.0,52
2630521,梦幻彩色包子捏捏,4月,3,85,30,35.3,55
2551483,瑜伽女孩人物雕像【A】,5月,3,30,11,36.7,19
2620564,【6pcs】木质工艺品庭院树挂墙面装饰【SCM2276六件套*3mm白色木板一张小圆胶】,4月,3,40,15,37.5,25
2620514,【定制】小手提包-黑猫与月亮1,4月,2,30,0,0.0,30
2551368,蒸笼包子捏捏乐【透粉色】,4月,2,35,0,0.0,35
2551132,【2pcs】立方海岛贝壳捏捏5.5cm【蓝色*2】,5月,2,30,0,0.0,30
2561267,【10pcs】限位石膏板螺丝批头套装-【铝磁圈定位螺丝-黑*10】-带磁产品！【备注：10个/盒，改价22元一套】,5月,2,30,1,3.3,29
2630679,【2pcs】甜酷y2k粉色蝴蝶结钥匙扣【门扣版+门扣版粉色领结】,5月,2,30,1,3.3,29
2561457,【2pcs】不锈钢蝴蝶吊坠钥匙扣【F款+G款】【备注：这两款装一包】,5月,2,35,2,5.7,33
2561229,【20pcs】水管接头套装-【20PCS欧规】,4月,2,30,2,6.7,28
2620458,【定制】化妆包-粉色豹纹1,4月,2,30,2,6.7,28
2630551,【2pcs】水豚吐司钥匙扣【头顶橘子+洗澡】,4月,2,30,3,10.0,27
2561255,【3pcs】指甲角质层护油笔-带液体！【备注：三只装，平铺包装】,4月,2,40,4,10.0,36
2630463,【定制】挂牌-花丛,4月,2,30,3,10.0,27
2561463,P-40汽车出风口夹螺旋桨-【绿色虎头】,5月,2,45,5,11.1,40
2561449,【定制】大号围裙【草坪高地牛】,5月,2,35,4,11.4,31
2561151,【定制】亚克力挂牌【鲜艳郁金香】,4月,2,35,4,11.4,31
2561228,【15pcs】水龙头接头软管套装-【套装23（散装）】【备注：一套袋装，加0.2元/包打包费】,4月,2,30,4,13.3,26
2551342,【定制】20oz汽车杯-【第四翼龙】,4月,2,40,6,15.0,34
2561386,【8pcs】木质猫头鹰杯垫,5月,2,35,6,17.1,29
2551528,宠物牙垢剂60ml【下单说跟客服对接雪花】-带液体,5月,2,35,6,17.1,29
2551391,【4pcs】洗车机配件【1个洗车机C形卡环*4】下单备注四个一套盒装,4月,2,30,6,20.0,24
2620554,【定制】挂牌-第四翼龙2,4月,2,30,6,20.0,24
2551519,【21pcs】绿色傻鹅主题生日派对拉旗吊旋,5月,2,40,8,20.0,32
2561410,【定制】大号围裙【烫手高地牛】,5月,2,30,6,20.0,24
2551543,手工diy动物珠子套装【池塘朋友】,5月,2,30,6,20.0,24
2561271,【9pcs】卡皮蛋糕装饰品,5月,2,30,6,20.0,24
2620625,2d平面木质摆件【19】,5月,2,40,8,20.0,32
2561357,吐泡泡包子蒸笼玩具-【紫色（带蒸笼）】【备注：独立opp袋装，加0.2元/个】,5月,2,40,9,22.5,31
2561134,彩虹蛋糕慢回弹捏捏乐,4月,2,65,15,23.1,50
2620626,【定制】挂牌-海边贝壳,5月,2,30,7,23.3,23
2551445,【定制】3D旋转风铃金属挂牌-【大海无量】【20*20】,4月,2,30,7,23.3,23
2551443,【定制】3D旋转风铃金属挂牌-【第四翼龙】【20*20】,4月,2,30,7,23.3,23
2620578,【6pcs】粉色木质杯垫【六件套*10*10*0.5cm 备注：下单备注分两列打包】,5月,2,30,7,23.3,23
2630731,【100pcs】金葱鱼十字架树叶鸽子洗礼木片,5月,2,45,11,24.4,34
2561462,P-40汽车出风口夹螺旋桨-【绿色鲨鱼嘴】,5月,2,40,10,25.0,30
2620688,【2pcs】【青色67钥匙扣【5cm】＋粉色67钥匙扣【5cm】 备注：两款各1为一套平铺打包】,5月,2,40,10,25.0,30
2561450,【定制】大号围裙【做饭高地牛】,5月,2,40,10,25.0,30
2630739,【定制】铁皮画-花园鸟,5月,2,55,14,25.5,41
2551389,【定制】木质挂牌-花园守护者【20*20】,4月,2,35,9,25.7,26
2551544,手工diy动物珠子套装【农场小可爱】,5月,2,35,9,25.7,26
2551438,【定制】单肩方包【game】【备注：压缩包装加1元】,4月,2,30,8,26.7,22
2561448,【3sets】海滩单身派对装饰 【备注：链接里拉旗和拉花组一包】,5月,2,30,8,26.7,22
2551577,【定制】亚克力挂牌-【猫月亮】,5月,2,45,12,26.7,33
2620641,【2pcs】巧克力捏捏乐【超软*巧克力块*2 备注：两件装平铺打包】,5月,2,55,15,27.3,40
2620624,【6pcs】67球队亚克力平面挂件【下单备注六款各1为一套打包】,5月,2,40,11,27.5,29
2551559,【定制】铁皮画-【向日葵欢迎牛】,5月,2,35,10,28.6,25
2630656,北欧风格装饰假书【7.8一套opp袋装】,5月,2,35,10,28.6,25
2620668,【3sets】长款流苏耳钉女【套装2 备注：协商11元一套】,5月,2,35,10,28.6,25
2620646,【定制】立牌-天使3,5月,2,45,13,28.9,32
2561264,【31pcs】西部牛仔方巾蛋糕装饰【备注：套装包装尺寸高度控制在4cm内】,5月,2,30,9,30.0,21
2620704,【定制】挂牌-书橱,5月,2,30,9,30.0,21
2561331,高地牛木质桌面摆件-【SCF088-3】,5月,2,30,9,30.0,21
2620665,【3pcs】粉色蝴蝶结书签套装【SQ0959＋SQ1354＋盒子 备注：麻烦仓库将两款书签各1放入盒子中打包】,5月,2,30,9,30.0,21
2561280,【定制】【2pcs】超细纤维毛巾套装【伦敦主题】【备注：这两条装一袋，真空压缩】,5月,2,30,9,30.0,21
2561275,【定制】化妆包【邮轮与度假】,5月,2,30,9,30.0,21
2630459,【定制】化妆包-伦敦,4月,2,30,9,30.0,21
2551479,【定制】【2pcs】超细纤维毛巾套装【草原牛款】【备注：这两条装一袋，真空压缩】,5月,2,45,14,31.1,31
2551481,高地牛月份钥匙扣【高地牛钥匙扣B十月】粉宝石,5月,2,40,13,32.5,27
2620300,耗牛冰格模具【高地牛单腔冰模】,4月,2,30,10,33.3,20
2561131,【定制】亚克力地插【高地牛蝴蝶款】-【20*15cm 两个脚】,4月,2,30,10,33.3,20
2630586,【4pcs】可爱黑猫印章,5月,2,30,10,33.3,20
2551562,【定制】铁皮画-【别fxxk我的快乐之家】,5月,2,30,10,33.3,20
2551376,【定制】亚克力挂牌-【发散生命树】,4月,2,30,10,33.3,20
2551456,【定制】亚克力挂牌-【海龟】,5月,2,30,10,33.3,20
2620478,【定制】挂牌-海边日出3,4月,2,30,10,33.3,20
2620680,【2pcs】新款光感变色串珠项链【吊坠两件】,5月,2,30,10,33.3,20
2561292,【10pcs】彩色亮片乌龟口袋拥抱卡 【备注：10款组一包】,5月,2,35,12,34.3,23
2551400,【定制】亚克力挂牌-【向日葵牛牛】,4月,2,35,12,34.3,23
2551566,【定制】亚克力挂牌-【蜂鸟】,5月,2,35,12,34.3,23
2561153,【20pcs】助听器硅胶耳塞（10mm+8mm)【备注：8mm和10mm各10个装一盒(先8mm和10mm各10个袋装，再一起盒装)】,4月,2,35,12,34.3,23
2630429,【定制】挂牌-蝴蝶,4月,2,35,12,34.3,23
2551428,【定制】亚克力挂牌-铁链按照图片-【舞者】,4月,2,30,11,36.7,19
2620507,【定制】挂牌-恶魔之眼2,4月,2,30,11,36.7,19
2551573,【2pcs】花朵喂水器【绿色】,5月,2,30,11,36.7,19
2551541,手工diy动物珠子套装【后院鸟类（不带彩盒）】,5月,2,30,11,36.7,19
2561412,女性治愈水晶手链卡片套装-【花绿石手链】,5月,2,35,13,37.1,22
2630573,【33pcs】生日宾果游戏卡,5月,2,40,15,37.5,25
2551343,高地牛门铃,4月,2,40,15,37.5,25
2620558,【2set】趣味I WAS 6 NOW I'M 7生日装饰【I WAS 6 NOW I'M 7生日蛋糕插牌*配胶点2根塑料棍＋I WAS 6 NOW I'M 7生日快乐粉色拉旗 备注：下单备注两款各1为一套打包】,4月,2,40,15,37.5,25
